Prefetcher,Benchmark,IPC,L2C Miss Latency,L2C Misses,Prefetch Requested,Prefetch Issued,Prefetch Useful
.,Unknown Benchmark,,,,,,
ghb_stride,perlbench,1.277,141.1,190680.0,3123112.0,3109283.0,8969.0
ghb_stride,gcc,0.8409,173.4,4866800.0,3262096.0,3262096.0,2402598.0
ghb_stride,bwaves,1.987,239.4,109610.0,43232.0,43232.0,12001.0
ghb_stride,mcf,0.4898,60.29,12581917.0,9835180.0,9835180.0,3096690.0
ghb_stride,cactuBSSN,1.097,128.6,8981457.0,129447828.0,129403092.0,1056555.0
ghb_stride,lbm,,,,,,
ghb_stride,omnetpp,0.3755,157.2,8149483.0,962040.0,962040.0,61433.0
ghb_stride,wrf,1.249,224.2,791335.0,4054196.0,4028862.0,121326.0
ghb_stride,xalancbmk,1.101,103.4,1979576.0,9822324.0,9820175.0,73205.0
ghb_stride,x264,1.834,202.1,1148910.0,7947584.0,7755363.0,164670.0
ghb_stride,cam4,1.225,943.3,2945640.0,2236916.0,2236405.0,69399.0
ghb_stride,pop2,1.702,197.1,5331199.0,10825784.0,10825455.0,1630324.0
ghb_stride,deepsjeng,1.154,155.7,271499.0,1858628.0,1858628.0,144.0
ghb_stride,imagick,3.308,18.98,89952.0,12609092.0,12609092.0,36150.0
ghb_stride,leela,1.171,194.9,127563.0,439868.0,439867.0,30257.0
ghb_stride,nab,1.038,134.0,121490.0,2682896.0,2682896.0,83964.0
ghb_stride,exchange2,1.701,167.4,157.0,15000.0,14972.0,0.0
ghb_stride,fotonik3d,0.9647,167.4,8502185.0,15665708.0,15665708.0,3920176.0
ghb_stride,roms,1.66,236.3,981423.0,1170048.0,1170048.0,284714.0
ghb_stride,xz,1.425,174.8,1285659.0,449192.0,446451.0,93534.0
ghb_stride_fdp,perlbench,1.277,141.1,199046.0,3304480.0,3289877.0,8983.0
ghb_stride_fdp,gcc,0.8409,173.6,4865849.0,3300768.0,3300768.0,2402236.0
ghb_stride_fdp,bwaves,1.987,239.4,109688.0,43324.0,43324.0,11999.0
ghb_stride_fdp,mcf,0.4898,60.29,12581913.0,9839708.0,9839708.0,3096704.0
ghb_stride_fdp,cactuBSSN,1.097,128.6,8934293.0,129802316.0,129758250.0,1058235.0
ghb_stride_fdp,lbm,,,,,,
ghb_stride_fdp,omnetpp,0.3754,157.2,8237367.0,1179032.0,1179032.0,61447.0
ghb_stride_fdp,wrf,1.249,224.4,878913.0,4366824.0,4334038.0,122024.0
ghb_stride_fdp,xalancbmk,1.101,103.4,2029378.0,10617624.0,10615468.0,73232.0
ghb_stride_fdp,x264,1.835,202.0,1180094.0,8186740.0,7988177.0,165283.0
ghb_stride_fdp,cam4,1.225,943.4,2959423.0,2282836.0,2282276.0,69496.0
ghb_stride_fdp,pop2,1.702,197.0,5354348.0,10878568.0,10878054.0,1630299.0
ghb_stride_fdp,deepsjeng,1.154,155.7,274981.0,1892292.0,1892292.0,150.0
ghb_stride_fdp,imagick,3.308,18.98,89952.0,12609256.0,12609256.0,36150.0
ghb_stride_fdp,leela,1.171,194.9,127682.0,445016.0,445015.0,30257.0
ghb_stride_fdp,nab,1.038,133.3,121633.0,2709020.0,2709020.0,84159.0
ghb_stride_fdp,exchange2,1.701,167.4,157.0,15000.0,14972.0,0.0
ghb_stride_fdp,fotonik3d,0.9646,167.4,8525723.0,15773676.0,15773676.0,3920552.0
ghb_stride_fdp,roms,1.66,236.3,981515.0,1170180.0,1170180.0,284714.0
ghb_stride_fdp,xz,1.425,174.9,1294143.0,465876.0,463100.0,93595.0
ip_stride,perlbench,1.277,141.3,182480.0,31800.0,31800.0,7270.0
ip_stride,gcc,0.7437,168.7,4574053.0,2307513.0,2307513.0,1878331.0
ip_stride,bwaves,1.985,232.4,105458.0,26738.0,26738.0,10869.0
ip_stride,mcf,0.4787,63.48,11596910.0,6841877.0,6841877.0,2759024.0
ip_stride,cactuBSSN,1.095,130.6,6467404.0,5164054.0,5164054.0,941537.0
ip_stride,lbm,0.4794,604.6,22942591.0,3398533.0,3398533.0,1781341.0
ip_stride,omnetpp,0.3757,157.2,8062375.0,209723.0,209723.0,60392.0
ip_stride,wrf,1.248,223.7,667574.0,1090432.0,1090432.0,111988.0
ip_stride,xalancbmk,1.101,104.4,1793022.0,3217211.0,3217211.0,66560.0
ip_stride,x264,1.85,201.4,881948.0,480119.0,480119.0,160308.0
ip_stride,cam4,1.232,955.5,2775988.0,1046404.0,1046404.0,61323.0
ip_stride,pop2,1.672,196.2,4655267.0,7426034.0,7426034.0,1598120.0
ip_stride,deepsjeng,1.153,155.8,271055.0,1617.0,1617.0,125.0
ip_stride,imagick,3.313,81.7,23380.0,8778148.0,8778148.0,19991.0
ip_stride,leela,1.171,188.9,117076.0,200979.0,200979.0,29547.0
ip_stride,nab,1.038,138.3,109722.0,1867486.0,1867486.0,83759.0
ip_stride,exchange2,1.701,167.4,157.0,0.0,0.0,0.0
ip_stride,fotonik3d,0.9428,153.3,7768367.0,12537482.0,12537482.0,3793683.0
ip_stride,roms,1.653,225.4,862291.0,846881.0,846881.0,284699.0
ip_stride,xz,1.427,170.5,1196004.0,280862.0,280862.0,89851.0
next_line,perlbench,1.288,130.6,288094.0,1160101.0,1160101.0,56723.0
next_line,gcc,0.914,98.05,7406468.0,4555104.0,4555104.0,4029813.0
next_line,bwaves,1.996,260.4,106212.0,17581.0,17581.0,17273.0
next_line,mcf,0.435,76.0,19307466.0,12904270.0,12904270.0,3537445.0
next_line,cactuBSSN,1.481,19.07,10917452.0,46168752.0,46168752.0,4859783.0
next_line,lbm,0.4791,597.2,26463646.0,5433609.0,5433609.0,2508447.0
next_line,omnetpp,0.3869,157.5,12495961.0,7427732.0,7427732.0,1541609.0
next_line,wrf,1.256,253.0,637110.0,1531710.0,1531710.0,198049.0
next_line,xalancbmk,1.08,54.26,6269778.0,20993678.0,20993678.0,609780.0
next_line,x264,2.005,215.5,892695.0,2402289.0,2402289.0,365770.0
next_line,cam4,1.245,981.1,2916635.0,1121342.0,1121342.0,193537.0
next_line,pop2,1.567,186.1,4367027.0,3645777.0,3645777.0,1831470.0
next_line,deepsjeng,1.153,156.7,405192.0,649524.0,649524.0,8650.0
next_line,imagick,3.311,16.5,54010.0,4447014.0,4447014.0,19052.0
next_line,leela,1.167,169.6,107371.0,501586.0,501586.0,31090.0
next_line,nab,1.04,128.9,107750.0,1135923.0,1135923.0,92810.0
next_line,exchange2,1.701,167.6,226.0,4537.0,4537.0,73.0
next_line,fotonik3d,0.6763,198.6,7217959.0,6564714.0,6564714.0,4687820.0
next_line,roms,1.622,192.2,676394.0,309074.0,309074.0,299186.0
next_line,xz,1.416,166.7,1834975.0,1321172.0,1321172.0,174441.0
no_pref,perlbench,1.275,141.5,176835.0,0.0,0.0,0.0
no_pref,gcc,0.5362,167.0,4310698.0,0.0,0.0,0.0
no_pref,bwaves,1.97,209.4,105454.0,0.0,0.0,0.0
no_pref,mcf,0.3704,89.75,10408683.0,0.0,0.0,0.0
no_pref,cactuBSSN,1.081,145.4,6459002.0,0.0,0.0,0.0
no_pref,lbm,0.4716,569.4,22257380.0,0.0,0.0,0.0
no_pref,omnetpp,0.3733,157.1,8024964.0,0.0,0.0,0.0
no_pref,wrf,1.22,223.0,572534.0,0.0,0.0,0.0
no_pref,xalancbmk,1.097,102.3,1744809.0,0.0,0.0,0.0
no_pref,x264,1.785,199.7,736816.0,0.0,0.0,0.0
no_pref,cam4,1.226,936.7,2747151.0,0.0,0.0,0.0
no_pref,pop2,1.246,168.6,3228080.0,0.0,0.0,0.0
no_pref,deepsjeng,1.154,155.6,270642.0,0.0,0.0,0.0
no_pref,imagick,3.259,162.6,19534.0,0.0,0.0,0.0
no_pref,leela,1.159,174.5,79946.0,0.0,0.0,0.0
no_pref,nab,1.017,158.4,103090.0,0.0,0.0,0.0
no_pref,exchange2,1.701,167.4,157.0,0.0,0.0,0.0
no_pref,fotonik3d,0.3922,216.9,4753360.0,0.0,0.0,0.0
no_pref,roms,1.456,224.7,516922.0,0.0,0.0,0.0
no_pref,xz,1.414,169.1,1055708.0,0.0,0.0,0.0
